,player_id,name,display_slug,team_id,team,team_slug,position,points_per_game,form,news,news_added_at,status,total_points,value_form,value_season,selected_by_percent,influence_rank_overall,creativity_rank_overall,threat_rank_overall,influence_rank_by_position,creativity_rank_by_position,threat_rank_by_position:,ict_index,ict_index_by_position,dreamteam_count,transfers_in,transfers_out,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,ep_next,ep_this,now_cost,transfers_in_event,transfers_out_event,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,saves,bonus,bps,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
596,461,Romain Saïss,Saïss,20,wolves,WOL,DEF,5.2,4.0,,2020-11-24T00:00:17.269596Z,a,62,0.8,12.2,11.3,57,291,76,18,88,4,104,22,2,2031255,1698856,100.0,100.0,1,-1,1,-1,4.0,4.0,51,116715,24767,3,0,4,16,0,0,0,9,232,,,3.0,,,
597,462,Jonathan Castro Otto,Jonny,20,wolves,WOL,DEF,0.0,0.0,Knee injury - Unknown return date,2020-08-15T10:00:11.923392Z,i,0,0.0,0.0,0.0,613,611,610,223,223,223,615,223,0,726,2643,0.0,0.0,0,0,-1,1,0.0,0.0,54,30,39,0,0,0,0,0,0,0,0,0,,,,,,
598,463,Léo Bonatini,Bonatini,20,wolves,WOL,FWD,0.0,0.0,Joined Grasshopper Club Zurich on loan until the end of next season on 22/9. - Expected back 01 Jul,2020-09-22T15:30:12.331538Z,n,0,0.0,0.0,0.1,591,582,575,72,74,74,593,74,0,8647,27510,0.0,0.0,0,0,-2,2,0.0,0.0,48,24,131,0,0,0,0,0,0,0,0,0,,,,,,
599,464,Leander Dendoncker,Dendoncker,20,wolves,WOL,MID,2.6,0.5,,2020-12-16T14:30:21.324457Z,a,31,0.1,6.6,0.6,236,115,77,95,77,42,141,75,0,56768,169800,100.0,50.0,0,0,-3,3,0.5,0.2,47,232,3060,0,2,5,9,0,0,0,0,98,,,,,,
600,465,Adama Traoré,Traoré,20,wolves,WOL,MID,1.6,2.0,,,a,28,0.3,4.6,5.5,190,25,101,76,20,54,71,40,0,288246,1266153,,,0,0,-4,4,2.0,2.0,61,4800,8936,0,1,1,18,0,0,0,0,126,,,,,,
601,466,Rúben Diogo da Silva Neves,Neves,20,wolves,WOL,MID,2.2,3.2,,,a,38,0.6,7.3,1.3,78,54,71,23,37,38,53,30,0,56185,155315,,,0,0,-3,3,3.2,3.2,52,7619,3127,1,0,3,20,0,0,0,3,213,4.0,,1.0,,2.0,
602,467,Oskar Buur,Buur,20,wolves,WOL,DEF,1.0,0.0,,,a,1,0.0,0.3,2.6,445,414,407,170,164,158,454,171,0,238387,223590,,,0,0,-1,1,0.0,0.0,39,7324,8725,0,0,0,0,0,0,0,0,2,,,,,,
603,469,Daniel Castelo Podence,Podence,20,wolves,WOL,MID,3.8,2.5,Calf injury - Unknown return date,2021-01-04T19:00:24.030549Z,i,57,0.5,10.4,3.9,103,71,35,35,49,19,42,26,0,1013069,758388,0.0,100.0,0,0,0,0,0.0,2.5,55,9297,82359,3,2,5,15,0,0,0,5,205,3.0,,,,,
604,470,Max Kilman,Kilman,20,wolves,WOL,DEF,3.7,0.7,,,a,37,0.2,9.0,10.1,229,269,260,91,77,80,275,88,1,1377876,827142,,,0,0,1,-1,0.7,0.7,41,36661,44311,0,1,3,7,0,0,0,6,151,,,,,,
605,471,Rúben Gonçalo Silva Nascimento Vinagre,Vinagre,20,wolves,WOL,DEF,0.5,0.0,Joined Olympiacos on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T16:00:17.052604Z,n,1,0.0,0.2,0.8,370,300,452,143,95,181,386,144,0,56783,633197,0.0,0.0,0,0,-4,4,0.0,0.0,41,12,1130,0,0,0,7,0,0,0,0,24,,,,,,
606,472,Matija Sarkic,Sarkic,20,wolves,WOL,GKP,0.0,0.0,Joined Shrewsbury Town on loan until the end of the season on 2/9. - Expected back 01 Jul,2020-10-22T16:00:16.009097Z,n,0,0.0,0.0,0.1,533,519,506,66,46,43,538,66,0,961,7156,0.0,0.0,0,0,-1,1,0.0,0.0,44,16,135,0,0,0,0,0,0,0,0,0,,,,,,
607,473,Morgan Gibbs-White,Gibbs-White,20,wolves,WOL,MID,0.0,0.0,,2020-08-25T12:00:07.425510Z,a,0,0.0,0.0,0.0,603,595,589,234,235,233,605,234,0,378,615,100.0,0.0,0,0,-1,1,0.0,0.0,49,30,20,0,0,0,0,0,0,0,0,0,,,,,,
608,474,Pedro Lomba Neto,Neto,20,wolves,WOL,MID,4.7,4.5,,,a,80,0.8,13.3,16.1,37,7,28,12,6,15,14,8,1,1627207,488045,,,0,0,5,-5,4.5,4.5,60,104553,75844,4,5,5,21,0,0,0,7,293,2.0,,4.0,,,
609,475,Bruno André Cavaco Jordao,Jordao,20,wolves,WOL,MID,0.0,0.0,Joined Famalicao on loan until the end of the season on 8/9. - Expected back 01 Jul,2020-09-17T22:30:12.505114Z,n,0,0.0,0.0,0.2,520,503,486,195,196,191,525,195,0,15810,43584,0.0,0.0,0,0,-2,2,0.0,0.0,43,405,685,0,0,0,0,0,0,0,0,0,,,,,,
610,476,Leonardo Campana,Campana,20,wolves,WOL,FWD,0.0,0.0,,,a,0,0.0,0.0,0.3,596,587,581,74,76,76,598,76,0,21068,33074,,,0,0,-2,2,0.0,0.0,48,858,833,0,0,0,0,0,0,0,0,0,,,,,,
