player_id,name,display_slug,team_id,team,team_slug,position,points_per_game,form,news,news_added_at,status,total_points,value_form,value_season,selected_by_percent,influence_rank_overall,creativity_rank_overall,threat_rank_overall,influence_rank_by_position,creativity_rank_by_position,threat_rank_by_position:,ict_index,ict_index_by_position,dreamteam_count,transfers_in,transfers_out,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,ep_next,ep_this,now_cost,transfers_in_event,transfers_out_event,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,saves,bonus,bps,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
438,Ryan Fredericks,Fredericks,19,west_ham,WHU,DEF,2.2,1.2,,2021-01-01T20:00:19.178821Z,a,11,0.3,2.6,0.2,295,164,237,114,39,69,256,84,0,18788,50285,100.0,100.0,0,0,-3,3,1.2,3.4,42,632,856,0,1,1,4,0,0,0,0,69,,,,,,
439,Manuel Lanzini,Lanzini,19,west_ham,WHU,MID,1.7,1.8,,2020-12-21T22:30:16.397106Z,a,19,0.3,3.0,0.1,304,221,192,129,135,103,279,131,0,12235,13071,100.0,100.0,0,0,-1,1,1.8,4.6,64,361,451,1,1,0,3,0,0,0,0,68,,,4.0,,3.0,
440,Felipe Anderson Pereira Gomes,Felipe Anderson,19,west_ham,WHU,MID,1.0,0.0,Joined Porto on loan until the end of the season on 6/10. - Expected back 01 Jul,2020-10-07T10:30:13.510025Z,u,2,0.0,0.3,0.1,449,427,407,192,194,192,455,194,0,4675,35031,0.0,0.0,0,0,-4,4,0.0,0.0,61,1,48,0,0,0,0,0,0,0,0,8,,,,,,
441,Sébastien Haller,Haller,19,west_ham,WHU,FWD,2.6,1.0,Joined Ajax on a permanent deal on 8/1,2021-01-08T17:30:20.025700Z,u,41,0.2,6.7,0.3,202,150,43,24,21,22,82,20,0,60525,90074,0.0,0.0,0,0,-4,4,0.0,0.0,61,8,2280,3,0,3,12,0,0,0,4,113,,,,,,
442,Arthur Masuaku,Masuaku,19,west_ham,WHU,DEF,3.7,0.0,Knee injury - Unknown return date,2020-12-11T01:00:24.001672Z,i,37,0.0,8.4,0.5,223,108,244,87,21,73,209,65,1,220728,223714,0.0,0.0,0,0,-1,1,0.0,0.0,44,43,2285,0,1,4,12,0,0,0,4,179,,,,,,
443,Fabián Balbuena,Balbuena,19,west_ham,WHU,DEF,3.3,0.2,,2021-01-15T18:00:24.754648Z,a,40,0.0,9.1,1.2,141,381,212,57,141,56,235,74,0,295967,238230,100.0,0.0,0,0,-1,1,0.2,0.0,44,842,15696,1,0,4,16,0,0,0,0,185,,,,,,
444,Jordan Hugill,Hugill,19,west_ham,WHU,FWD,0.0,0.0,Joined Norwich City on a permanent deal on 24/8,2020-08-24T18:30:13.532593Z,u,0,0.0,0.0,0.0,630,629,629,76,78,79,633,79,0,429,663,0.0,0.0,0,0,0,0,0.0,0.0,55,3,2,0,0,0,0,0,0,0,0,0,,,,,,
445,Jarrod Bowen,Bowen,19,west_ham,WHU,MID,4.1,3.0,,,a,78,0.5,12.4,3.2,99,40,23,32,29,14,25,17,2,677872,582268,,,0,0,-2,2,3.0,7.0,63,8633,22654,5,2,6,19,0,0,0,5,241,2.0,,,,,
447,Albian Ajeti,Ajeti,19,west_ham,WHU,FWD,0.0,0.0,Transferred to Celtic,2020-08-15T12:28:02.359786Z,u,0,0.0,0.0,0.0,631,630,630,77,79,80,634,80,0,663,800,0.0,0.0,0,0,0,0,0.0,0.0,55,8,10,0,0,0,0,0,0,0,0,0,,,,,,
448,Declan Rice,Rice,19,west_ham,WHU,MID,2.5,2.6,,,a,47,0.5,9.8,2.6,102,59,135,34,42,74,76,43,0,182504,334593,,,0,0,-2,2,2.6,6.2,48,6977,11114,0,1,7,22,0,0,0,0,292,,,2.0,,,
449,Tomas Soucek,Soucek,19,west_ham,WHU,MID,4.3,5.6,,,a,81,1.1,15.3,18.4,27,171,21,9,104,13,31,21,3,1832816,771564,,,0,0,3,-3,5.6,12.2,53,59959,140608,5,1,7,22,0,0,0,10,273,,,,,,
450,Pablo Fornals,Fornals,19,west_ham,WHU,MID,3.9,3.0,,,a,71,0.5,11.6,0.8,169,114,52,64,80,27,81,48,0,271632,238857,,,0,0,-4,4,3.0,7.0,61,3207,3913,2,5,7,15,0,0,0,7,196,,,,,,
